Supplementary  Table  9.  Interstudy  analysis  of  individual  local  adverse  events  reported  in  vaccine  group  (excluding  control group) of coronavirus vaccine studies. Data represent % of patients in experimental group reporting any grade of symptomatic adverse event.,,,,,,,,,
Study (% Patients),Injection site pain,Redness,Swelling,Induration,Pruritus,Tenderness,Warmth,Bruising,
"Zhu, AdH5 (Phase 1) (n=108)",54.0,4.0,7.0,4.0,5.0,-,-,-,
"Zhu, AdH5 (Phase 2) Low Dose (n=129)",56.0,1.0,4.0,2.0,4.0,-,-,-,
"Zhu, AdH5 (Phase 2) High Dose (n=253)",57.0,2.0,4.0,10.0,5.0,-,-,-,
"Logunov, AdH26/5-Vac (n=38)",55.3,-,2.6,-,2.6,-,5.3,-,
"Logunov, AdH26/5-Lyo (n=38)",63,-,0.0,-,0,-,2.6,-,
"Sadoff, Ad26.COV2.S (n=805)",55.0,2.5,2.8,-,-,-,-,-,
"Ramasamy, ChAdOx Prime (n=128)",29.6,1.9,0.9,0.2,5.0,53.1,4.9,-,
"Ramasamy, ChAdOx Boost (n=128)",19.9,2.3,1.5,0.4,5.0,44.0,5.9,-,
"Folegatti, ChAdOx (Phase 1/2) (n=543)",65.6,2.9,4.1,3.1,7.0,82.1,24.5,-,
"Baden, mRNA-1273 Prime (n=15,210)",83.7,2.8,6.1,-,-,10.2,-,-,
"Baden, mRNA-1273 Boost (n=15,210)",88.2,8.6,12.2,-,-,14.2,-,-,
"Jackson, mRNA-1273 Prime (n=45)",86.7,6.7,10.7,-,-,-,-,-,
"Jackson, mRNA-1273 Boost (n=45)",91.7,11.0,9.7,-,-,-,-,-,
"Anderson, mRNA-1273 Prime (n=40)",62.5,0.0,-,2.5,-,-,-,-,
"Anderson, mRNA-1273 Boost (n=40)",75.0,17.5,-,20.0,-,-,-,-,
"Chu, mRNA-1273 Prime (n=600)",74.5,3,4,-,-,-,-,-,
"Chu, mRNA-1273 Boost (n=600)",82.5,6.5,8.5,-,-,-,-,-,
"Polack, BNT162b2 Prime (n=21,720)",77.0,5.0,6.5,-,-,-,-,-,
"Polack, BNT162b2 Boost (n=21,720)",72.0,6.5,6.5,-,-,-,-,-,
"Mulligan, BNT162b1 Prime (n=36)",86.0,15.0,18.3,-,-,-,-,-,
"Mulligan, BNT162b1 Boost (n=24)",90.0,7.5,11.0,-,-,-,-,-,
"Walsh, BNT162b1 Prime (n=84)",79.2,2.8,12.5,-,-,-,-,-,
"Walsh, BNT162b1 Boost (n=72)",82.0,5.5,13.8,-,-,-,-,-,
"Walsh, BNT162b2 Prime (n=72)",65.3,1.3,2.8,-,-,-,-,-,
"Walsh, BNT162b2 Boost (n=72)",63.7,0.0,0.0,-,-,-,-,-,
"Che, inactivated SARS-COV-2 (n=600)",14.0,0.5,0.0,-,2.0,-,-,-,
"Xia, BBIPB Phase I (n=144)",24.0,0.5,0.5,2.5,1.0,-,-,-,
"Xia, BBIPB Phase II (n=336)",16.0,1.0,2.0,,1.0,-,-,-,
"Zhang, CoronaVac (n=570)",16.1,1.0,0.8,0.5,0.5,-,-,-,
"Wu, Coronavac I/II (n=421)",10.3,0.9,0.6,-,0.9,-,-,-,
"Ella, BBV152 Prime I (n=300)",3.7,-,0.0,-,-,-,-,-,
"Ella, BBV152 Boost I (n=300)",1.3,-,0.0,-,-,-,-,-,
"Ella, BBV152 II (n=380)",7,1,-,-,-,-,-,-,
"Keech, NVX-CoV2373 Prime (n=102)",42.2,1.0,-,0.0,-,48.7,-,-,
"Keech, NVX-CoV2373 Boost (n=76)",47.2,6.1,-,4.7,-,60.6,-,-,
"Tebas, INO-4800 Prime (n=40)",5.0,2.5,-,0.0,-,-,-,-,
"Tebas, INO-4800 Boost (n=40)",2.5,0.0,-,0.0,-,-,-,-,
"Richmond, SCB-2019 Prime (n=121)",28.3,3.3,3.3,-,-,-,-,-,
"Richmond, SCB-2019 Boost (n=121)",32.5,10.8,10.0,-,-,-,-,-,
"Koch, MERS MVA (n=26)",65.0,42.0,38.0,38.0,-,-,-,27.0,
"Martin, SARS DNA (n=10)",100.0,40.0,20.0,-,-,-,-,-,
"Lin, SARS Inactivated (n=24)",29.2,8.4,-,-,4.2,-,-,-,
"Modjarrad, GLS-5300 MERS  (n=75)",92.0,6.7,-,2.7,,84.0,-,1.3,
"Folegatti, ChAdOx 1 MERS (n=24)",80,20,0,-,21.0,-,20,-,