Supplementary Table 10: Interstudy analysis of individual systematic adverse events reported in vaccine group (excluding control group) of coronavirus vaccine studies. Data represent % of patients in experimental group reporting any grade of symptomatic adverse event.,,,,,,,,,,,,,,,,,
Study (% Patients),Headache,Myalgia,Fatigue,Arthralgia,Fever,Nausea,Chills,Diarrhoea,Appetite impairment,Vomiting,Abdominal Pain,Hyper- sensitivity,Itch,Mucosal abnormality,Feverishness,Cough,
"Zhu, AdH5 (Phase 1) (n=108)",39,17,44,8,46,6,-,11,16,2,-,-,3,1,-,6,
"Zhu, AdH5 (Phase 2) Low Dose (n=129)",28,18,34,10,16,5,-,8,5,1,-,0,3,2,-,2,
"Zhu, AdH5 (Phase 2) High Dose (n=253)",29,15,42,13,32,8,-,8,11,2,-,0,2,1,-,5,
"Logunov, AdH26/5- Vac (n=38)",52.6,26.3,44.7,26.3,81.6,-,-,10.5,7.8,-,-,-,-,-,-,5.3,
"Logunov, AdH26/5- Lyo (n=38)",31.6,23.7,10.5,23.7,23.7,-,-,0,0,-,-,-,-,-,-,0,
"Sadoff, Ad26.COV2.S (n=805)",43.5,37,41.1,-,15.8,15.5,-,-,-,-,-,-,-,-,-,-,
"Ramasamy, ChAdOx Prime (n=128)",36.6,27.3,41.5,13.8,5.7,7.3,13.0,-,-,-,-,-,-,-,16.9,-,
"Ramasamy, ChAdOx Boost (n=128)",19.6,18.1,23.5,5.0,0.0,6.2,4.3,-,-,-,-,-,-,-,7.3,-,
"Folegatti, ChAdOx (Phase 1/2) (n=543)",67.2,59.1,70.0,30.6,17.7,26.3,52.9,-,-,-,-,-,-,-,49.7,-,
"Baden, mRNA-1273 Prime (n=15,210)",32.7,22.7,37.2,16.6,0.8,8.3,8.3,-,-,-,-,-,-,-,-,-,
"Baden, mRNA-1273 Boost (n=15,210)",58.6,58,65.3,42.8,15.5,19,44.2,-,-,-,-,-,-,-,-,-,
"Jackson, mRNA-1273 Prime (n=45)",31.0,13.7,29.3,6.7,0.0,5.0,6.7,-,-,-,-,-,-,-,-,-,
"Jackson, mRNA-1273 Boost (n=45)",60.7,56.3,62.7,27.7,32.0,24.0,59.3,-,-,-,-,-,-,-,-,-,
"Anderson, mRNA- 1273 Prime (n=40)",12.5,20,25,10,0,0,-,-,-,-,-,-,-,-,-,-,
"Anderson, mRNA- 1273 Boost (n=40)",40,50,50,12.5,7.5,17.5,-,-,-,-,-,-,-,-,-,-,
"Chu, mRNA-1273
Prime (n=600)",25.5,12.5,24.5,9,0.0025,4.5,6,-,-,-,-,-,-,-,-,-,
"Chu, mRNA-1273
Boost (n=600)",51,47.5,59,37,9.5,17,32,-,-,-,-,-,-,-,-,-,
"Polack, BNT162b2 Prime (n=21,720)",33.5,17.5,40.5,10,2.5,-,10,9.5,-,0.5,-,-,-,-,-,-,
"Polack, BNT162b2 Boost (n=21,720)",45.5,33,55,20.5,13.5,-,29,9,-,1.5,-,-,-,-,-,-,
"Mulligan, BNT162b1 Prime (n=36)",55,29.3,55.7,13.3,22.0,-,49.0,18.3,-,0,-,-,-,-,-,-,
"Mulligan, BNT162b1 Boost (n=24)",87.5,50,75,25,41.5,-,47.5,4,-,0,-,-,-,-,-,-,
"Walsh, BNT162b1 Prime (n=84)",46.4,28.5,45.8,16.6,6.8,-,20.7,10.6,-,0,-,-,-,-,-,-,
"Walsh, BNT162b1 Boost (n=72)",73.6,45.6,63.8,29.0,25.5,-,43.0,6.93,-,1.38,-,-,-,-,-,-,
"Walsh, BNT162b2 Prime (n=72)",24.9,13.9,29.2,4.1,2.8,-,8.3,2.8,-,1.38,-,-,-,-,-,-,
"Walsh, BNT162b2 Boost (n=72)",36.0,26.4,45.8,8.3,5.5,-,25.0,0,-,1.38,-,-,-,-,-,-,
"Che, inactivated SARS-COV-2 (n=600)",-,-,5.33,-,2.70,0.83,-,1.67,-,0,-,0.6,-,0.33,-,1.83,
"Wu, Coronavac I/II (n=421)",1.4,1.1,3.4,0.0,3.7,0.6,-,1.1,-,0.3,0.0,0.3,-,-,-,0.9,
"Ella, BBV152 Prime I (n=300)",2.7,1.0,2.0,-,1.7,1.7,-,-,-,-,-,-,-,-,-,-,
"Ella, BBV152 Boost I (n=300)",0.0,0.3,1.7,-,1.3,0.0,-,-,-,-,-,-,-,-,-,-,
"Ella, BBV152 II (n=380)",2.5,2,2.5,-,6,-,-,-,-,-,-,-,-,-,-,-,
"Xia, BBIPB Phase I (n=144)",2,0,2,0.5,3.5,-,-,1.5,0.5,1,-,-,1,1,-,-,
"Xia, BBIPB Phase II (n=336)",1,<1,3,-,2,1,-,-,-,-,-,-,1,-,-,1,
"Zhang, CoronaVac (n=570)",2.1,2.1,5.9,-,3.3,1.3,2.1,-,1.0,0.3,-,0.5,-,-,-,0.96,
"Keech, NVX-CoV2373
Prime (n=102)",32.3,23.3,29.6,8.9,0.0,9.9,-,-,-,-,-,-,-,-,-,-,
"Keech, NVX-CoV2373
Boost (n=76)",44.8,34.4,32.4,15.8,1.7,11.4,-,-,-,-,-,-,-,-,-,-,
"Tebas, INO-4800
Prime (n=40)",0,0,0,0,0,2.5,0,-,-,-,-,-,-,-,-,-,
"Tebas, INO-4800
Boost (n=40)",0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,
"Richmond, SCB-2019 Prime (n=121)",16.7,10.8,10.8,-,0.0,1.7,-,2.5,-,2.5,-,-,-,-,-,-,
"Richmond, SCB-2019 Boost (n=121)",15.0,13.3,16.7,-,5.0,5.0,-,0.0,-,0.8,-,-,-,-,-,-,
"Koch, MERS MVA (n=26)",62,19,62,15,8,8,4,3,-,-,19,-,-,-,-,-,
"Martin, SARS DNA (n=10)",10,30,-,-,1,0,1,-,-,-,-,-,-,-,-,-,
"Lin, SARS Inactivated (n=24)",4.2,4.2,4.2,-,4.2,-,-,15.5,-,-,12.5,-,-,-,-,-,
"Modjarrad, GLS-5300 MERS (n=75)",30.7,14.7,18.7,5.3,-,12,-,-,-,-,-,-,-,-,-,-,
"Folegatti, ChAdOx 1 MERS (n=24)",66.7,54.2,66.7,33.3,20.8,33.3,-,-,-,-,-,-,-,-,50,-,